,1 and 40 - frame 0,1 and 40 - frame 1,1 and 40 - frame 2,1 and 40 - frame 3,1 and 40 - frame 4
molecule 1,-0.6073958764594665,-2.3798210454785518,-2.7550953728033836,-2.5495466450672657,-2.96377313033251
molecule 2,-0.01296972660368991,-0.01128761450036373,-0.010946164179794951,-0.01112047980125692,-0.010481233163803299
molecule 3,-0.4200595113144539,-0.4477192431650793,-0.45861958345040105,-0.44819604658346796,-0.4413104006532482
molecule 4,-0.00977780955130547,-0.009447344148866868,-0.009822113680374295,-0.010005752124557222,-0.009314007461359092
molecule 5,0.10467945154440353,0.06657706632816718,0.015605970334198914,-0.02800276417814644,-0.07729355793954329
molecule 6,0.1123952866838783,0.1092367245392527,0.10339995457687254,0.09871337212240582,0.09854936205028379
molecule 7,-0.007376849154774648,0.00882407545934334,0.02737709701242285,0.04250592884103932,0.057989483502073766
molecule 8,-0.18488578910862755,-0.18657285887571012,-0.18607005574862065,-0.17755006048731573,-0.16104300100303412
molecule 9,0.3532624778436955,0.34403022450965337,0.3237918828859569,0.32493882908949595,0.3441449534852176
molecule 10,-0.05516019794776582,-0.06192633679785662,-0.07601475005415338,-0.07615237869490127,-0.062179990195936834
molecule 11,0.017989552953829868,0.04457698095528763,0.05009378541914279,0.03960481110857178,0.03460929082422832
molecule 12,0.01719953261624045,0.009063258522045764,0.00100188538499359,-0.00914086287924826,-0.01945087175153247
molecule 13,-1.544374040297206,-1.609963813723864,-1.6816531541293096,-1.7489688723808094,-1.7748354485322637
molecule 14,3.5821277344772593,3.9727282645009314,3.165353483028386,2.890316188053855,3.9904896701398136
molecule 15,-0.15407550163490566,-0.16320542122379253,-0.1719811312722699,-0.18685997588096137,-0.19962733392587725
molecule 16,14.863545278902054,14.566944327786914,14.91827399885359,15.395142397681722,15.467005238052238
molecule 17,0.02380335333621277,0.025942081033888797,0.028949154934031898,0.03181617716012482,0.03329061317537653
molecule 18,-1.2337028576107723,-1.228590524543337,-1.2685748010804752,-1.2864759574611,-1.2533346479050436
molecule 19,0.214777181604554,0.22366046917103488,0.22550439374989098,0.2584789835211916,0.31737526035038993
molecule 20,0.09284342718276853,0.07676885959179747,0.06414620588135575,0.049513759685586856,0.03090031101390178
molecule 21,-0.33128636729182764,-0.3250658557010338,-0.33865046005734545,-0.3470178577612148,-0.3353962800589125
molecule 22,-0.05269778703644262,-0.051882633953317256,-0.05077889142185898,-0.05145295113797003,-0.05356446912071961
molecule 23,0.01918371703734021,0.020281671424093886,0.021730236442891772,0.02542303581544567,0.031360115074632634
molecule 24,-0.36958884335871384,-0.38734770018855585,-0.4059541619597375,-0.4295102526855571,-0.4484479088204693
